Product Name,Cost Price,Selling Price
بنسا تزليط Conan,2.25,4
"منشار بطارية 6""",17,22
LED Bulb OL Outrace 12w,0.55,1
Bomba LED Bulb 150w,6.7,9
لمبة فلاش Aelifv,2.25,3.5
كونتكتير Aelifv 3ph 4011,13.5,18
كونتكتير شفاف JQX,4,6
دجنتير اشتراك 3x15A CBI,23,25
دجنتير اشتراك CBI 50A,8.5,11
بروجيكتر 150w,10.5,18
فيش مولد عريض,0.75,2
فيش مولد,0.75,2
Profil JH003 Black,1.05,1.5
دوي Double Back,0.35,1
بروجيكتر 10w,2.35,6
كونتكتير موديلير 2 no 25A Aelifv,4,7
كونتكتير انفرسور1no+1nc Potric,4,7
تايمر ثواني SPARK,6,9
LED Bulb 9w Gold,0.55,1
Q2U حرامي اعوج Sopoka,4,6
Tp-link Wifi Extender,15,20
MR16 سبوت ثابت,0.85,1.5
Receiver SR 4070 رسيفر,8,12
Receiver SR 98 رسيفر,8,12
Ramadan LED Decoration,6.5,10
Cosmostar RGB Strip LED,7,12
LED Bulb E14 mini,0.9,2
ادبتر رسيفر,1,2
SR 4604 hd 4way عين رسيفر,4,7
SR 5080 hd 4way عين رسيفر,8,12
JTC8260,12,16
JTC 1212,3.5,6
JTC 9872,10,14
Q4U حرامي اعوج Sopoka,3.5,5
وصلة strip LED 180,0.35,1
Profil JH035,1.9,2.25
Profil 2010,0.9,1.25
T8 90cm,1,1.5
علبة جمع ظاهرة 30x25,6.5,9
Interlock 3ph,1.3,2.5
تايمر ثواني/دقائق دولاب SGT,2.5,5
دجنتير طاقة 125A DC,4.5,8
بلوطة,0.22,0.7
راسور تسحيب اصفر 10m,3,5
LED Bulb Colored,0.85,1.5
JTC 8912,10,15
JTC 8220,4,8
Smart Doorbell,10,15
بار ناتر,1,2
حرامي Solera,1.1,2.5
نواصة بفيش,0.75,2
علبة جمع ظاهرة 15x15,1.5,3
علبة جمع ظاهرة 25x20,2.5,5
Battery 9V Everyday,1,2.2
ادبتر امركاني Famatel,0.7,1.5
كونتكتير CHNT 3ph 4011,26,30
كونتكتير Aelifv 3ph 2501,5.85,10
كونتكتير CHNT 3ph 2501,10,15
Aelifv Plugin Timer,2.75,6
Frameless 60w Trendy square,8.5,13
علبة متمنة ظاهرة SGT,0.75,1.5
انتريك Tactical Flashlight,2,5
كادر بلا شريط شوكو 4way,1.5,3
كادر بلا شريط شوكو 3way,1.15,2.5
SR 320 hd 1way عين رسيفر,1,3
DISEQC SR X41,2,4
JTC 9120,10.5,15
JTC 3990,10,15
JTC 8048,8,12
JTC 8280,6,12
Spot Frameless 48W ظاهر YGT,7,9
كادر بلا شريط 2way,0.85,2
SOLERA فيش ذكر,0.8,1.5
MR16 LED Bulb YGT 8w,0.6,1.1
8w Edison Bulb لمبة ديكور G95,2,3
8w Edison Bulb لمبة ديكور G125,2.25,3.5
4w Edison Bulb لمبة ديكور ST64,1.1,2.5
كبسb22 5w LED Bulb,0.5,1
دجنتير صناعي Potric 125A,13,16
وصلة HDMI 1.5m,1,3
Battery Charger 10A,8,12
تابلو Aelifv 12way,6,10
تابلو Aelifv 8way,4,8
تابلو Aelifv 5way,3,5
كوسات 35,0.24,0.4
كوسات 25,0.18,0.3
كوسات 16,0.12,0.3
ساعة فحص UNIT 202,20,24
UPS Router WAB,10,16
Pocket Light مع عدة 5137,2.75,6
ضوء راس 200,2,5
ضوء راس 899,3,6
JTC 8025,3,5
JTC 1830,10,15
Battery قازان Osel,0.75,1.5
تلزيق صحية عريض ABD,0.6,1.5
مفك معزول طقم Conan,5.5,12
"Conan 8"" بنسا",2.6,5
"Conan 7"" بنسا",2.25,4
"Conan 6"" بنسا",2.15,3
مفك Conan,0.75,2
Cutter,0.1,1
Strip LED RGB 5m Bluetooth,4,10
ضو طاقة Gdplus 8071,20,26
بروجكتير طاقة Gdplus 2207,12,20
SR 3602 hd 2way عين رسيفر,2,4
Receiver SR 88 رسيفر,10,15
JTC 9303,10,14
JTC 6650,5,8
JTC 1936,6,10
فيش صناعي انثى 2x16,1.25,2.5
فيش صناعي ثابت 2x16,1.5,3
فيش صناعي ذكر 2x16,1,2
وصلة MC4,0.4,1
بروجكتر High Quality Gray 150w,17,21
دجنتير DC Aelifv 16A-63Aِ,4.35,6
جرس كهربا Green Bird,1.1,2
علام خزان 1.2m,6,10
JTC 9924,3,5
JTC 9916,3,5
JTC 8024,5,8
JTC 5121,3.5,7
JTC 407,2.5,5
JTC 9864,7,10
مكنة برغش 12w Insect Killer,11,16
مكنة برغش 10w Insect Killer,10,13
جنكسيون150A 50mm,3.5,5
جنكسيون 100A 40mm,2,3
جنكسيون 60A 25mm,1,2
جنكسيون 30A 16mm,0.6,1.5
جنكسيون 10A 10mm,0.45,1
كادر بلا شريطFamatel 4way,8.3,11
كادر بلا شريط 4way,1.1,2
كادر بلا شريط 3way,0.9,1.5
سبوت مربع YGT 18w,2.75,4
Tools Box Small Wadfow,3,6
Tools Box Medium Wadfow,6,10
Tools Box Large Wadfow,9,14
LED Bulb China 3w,0.35,0.8
ساعة حرارة Aelifv Thermometer,7,10
Battery Energizer 2025,1.05,2
Battery Energizer 1620,1.3,2.2
Battery Energizer A27,1.7,2.5
بوبين مروحة 2.5uf,0.55,1
مفك دجنتير ingco 1150,0.8,2
مفك دجنتير ingco 1100,0.6,1.5
ساعة حرارة Aelifv Thermometer,7,10
مفتاح جرس Famatel,2.26,4
Spot Frameless 36w ظاهر,3.75,6
وصلة بشريط 4way 5m,2.45,5
شفاط صناعي FA50,40,45
شفاط صناعي FA45,37,42
شفاط صناعي FA40,31,37
شفاط صناعي FA35,17,25
شفاط صناعي FA30,15,22
شفاط صناعي FA25,12,18
بريز ظاهر Famatel,1.5,3
Battery Energizer 2032,1.17,2
Battery Energizer 2016,1.05,2
Battery Energizer 1620,1.3,2.2
Battery Energizer A27,1.33,2.2
Battery Energizer A23,1.5,2.5
MR16 LED Bulb Wolta,0.6,1.1
LED Rechargeable Sensor Lamp,2,4
Automobile RGB LED Strip Car,4.5,10
لمبة ديكور G125 COOL,1.25,2.2
Filament Lamp E14 YGT شفاف,0.7,1.25
Filament Lamp E14 YGT,0.5,1
ترانس 24-36w,2,2.5
كونتكتير مودولر سكة Potric,7,11
ريليه بلا قاعدة 220v Aelifv,1.75,4
لمبة سنسر12w,1.8,3
