Product Name,Cost Price,Selling Price
كوس انبوب 4,0.75,1.5
كوس انبوب 6,1,2
كوس انبوب 10,1.25,2.2
كوس انبوب 16,2,3
كوس انبوب 25,3,4
كوس انبوب 35,3.5,4.5
سبوت متحرك MR16,1.15,2
علبة ظاهرة 6M,1.5,2
شاسيه Orva 6M,1.75,2
بلاك Orva 6M,1.2,1.5
frameless spot 24w YGT,2.75,4
علبة ظاهرة 4M,0.9,1.5
شاسيه Orva 4M,0.65,0.9
بلاك Orva 4M,0.65,0.9
Camera 3lens E2316,16,25
Solar lamp Cl 080,6.5,10
وصلة بشريط T304,5,8
وصلة بشريط E034,5,8
Strip LED RGB 5m Neon,8,14
JTC fan 5401,27,35
JTC fan 2819,28,37
Solar light Gdplus 8860,25,34
mini Fan clamp,6.5,12
E27 Fan 40w,10,20
لانس بطارية صيني,15,20
لمبة تشريج Biva,2.25,5
بطارية A23 Gp,0.5,1
بطارية Camelion AA,0.3,0.66
بطارية Camelion 9V,0.33,0.7
بطارية Camelion C,0.66,1
بطارية maxday 3v 2032,0.3,1
انتريك عسكري,1,2
كوسات شك,1.5,3
magnetic DJ11 24w,9,11
سكة Magnetic,7.5,9
ترانس 200w Magnetic,13,15
دجنتير DPN Aelifv 10-32A,1.75,2.5
profil 1010,0.7,1
توال indo,0.38,0.6
شفرة خفيفة,0.1,1
ركور جالس sopoka,0.48,1
Ingco Blower 800w,18,26
مقص PPR Conan,2.25,5
علبة ماجيك KH,0.12,0.25
رباط بلاستيك 4.8x100 Pelsen,0.3,1
رباط بلاستيك 4.8x150 Pelsen,0.45,1
رباط بلاستيك 4.8x200 Pelsen,1.25,2.5
رباط بلاستيك 4.8x250 Pelsen,1.5,2.5
رباط بلاستيك 4.8x300 Pelsen,1.75,3
ساعة V/A 3M,4.5,8
Strip LED 24v Bright,22,26
علبة جمع ظاهرة 15x10,1.25,3
oval globe 24w,3,6
متر Toyo,1.33,3
Chip 50w لمبة بروجكتير,1.25,2.2
"Prandtex Fan 16""",15,19
"Prandtex Fan 18""",17,23
دجنتير 4PH 63A Aelifv,3.5,6
Aelifv دجنتير طاقة 125 DC,4.5,8
رباط بلاستيك 7.6x300,3.5,5
6mm اسفين دق Italy,4.3,6
جنكسيون طربوش 35,1,1.5
دجنتير مفرد 6A-32A SGT/Aelifv,0.7,2
دجنتير مجوز 6A-40A SGT/Aelifv,1.4,4
بورت فيوز مع فيوز Aelifv,2,3.5
وصلة MC4 Y3,2.5,5
wifi switch Smart,4.5,8
"قطاعة كابل 6""",2,4
"قطاعة كابل 8""",2.75,5
ساعة فحص تون,15,20
weekly بريز تايمر ديجيتال Aelifv,5.5,8
شاسيه Konnice,0.2,0.5
Konnice بلاك,0.18,0.5
سدة Konnice,0.06,0.2
بريز Konnice,0.3,0.6
Konnice مفتاح,0.3,0.6
بريز Konnice Black,0.45,0.6
Konnice مفتاح Black,0.35,0.6
Konnice بريز تلفون,0.52,0.7
بريز تلفزيون Konnice,0.8,1
مفتاح دركسيون Konnice,0.43,0.7
بريز شوكو Konnice,0.78,1.2
Konnice بلاك خشبي,0.35,0.6
علبة ظاهرة Konnice,0.55,1
Konnice بريز universal,0.6,1
كارت اسم Konnice,0.5,1
مفتاح جرس Konnice,0.43,1
Konnice 01 ضو,1.1,2
Konnice غطاء مطري,1.1,2
syria علبة ظاهرة Konnice,0.42,0.8
LED Foldable Bulb Konnice 40w,2.25,5
Konnice بلاك اسود,0.18,0.5
LED Bulb 12V 12w KH,0.8,1.77
KH T5 30cm,1,2
KH T5 60cm,1.35,2.5
KH T5 90cm,1.65,3
KH T5 120cm,1.75,3.5
White Diamond LED Bulb 60w,2.5,5
White Diamond LED Bulb 40w,1.85,3.5
White Diamond LED Bulb 30w,1.6,3
دوي سنسر,2.5,5
8w Edison Bulb لمبة ديكور tecnolite,0.7,2
battery 4v-2A,2,5
battery 6v-4.5A,4,7
battery 12v-4.5A,9,12
Solar light Gdplus 8100 150w,30,45
ريموت رسيفر Starsat,1,2
TV Box xiaomi,18,25
Fan Agi 1631,17,24
JTC fan 2857,10,15
فيش مسجلة,0.4,1.1
repeater 1200mbps,6,10
بنسا SMU,7,10
فراش مروحة جوكر,1.75,3.3
Energizer Battery AAA x4,1.73,3
Energizer Battery AA x4,1.73,3
Energizer Battery D,4.8,6
eveready انتريك صغير,1.75,2
eveready انتريك كبير,2.3,4
Ceiling LB00001324 4pcs,19,25
Ceiling LB00001323 4pcs,19,25
Table Ceiling 45566-01-65,12,20
Wall Ceiling 45280-01-30,17,25
x2 Ceiling 74107-12-30,17,25
kitchen Ceiling 74309-01-37,17,28
Gold LED Bulb 18w,0.85,2
Gold LED Bulb 40w,1.9,4
Gold LED Bulb 30w,1.65,3
Gold LED Bulb 40w 4000K,1.65,4
Gold LED Bulb Stick 10w,0.75,1.5
Gold LED Bulb Stick 20w,1.5,2.5
علبة مطرية بريز شوكو,2.05,4
علبة مطرية بريز شوكو + مفتاح,2.8,5
علبة مطرية مفتاح x2,2.35,4.5
وصلة بشريط 3way Kabloo,2.7,5
Filament Lamp E14 OL,0.7,1.1
تلزيق double face Ivy,0.55,1.77
كرت براغي+اسفين,0.75,1.77
فيش ذكر كيس Sopoka,0.5,1
دوي فيش Sopoka,1.15,2.2
فواشة ايطالي اصلي,6.25,9
فواشة ايطالي علبة,2.5,5
مفتاح ظاهر كبير Sopoka,0.55,2
B1 تيب 13ml/30yard,3,5
B1 تيب 16ml/30yard,3.25,5.5
B1 تيب 19ml/30yard,4.25,6
B1 تيب 23ml/30yard,5.25,6.5
B1 تيب 13ml/45yard,5,7
B1 تيب 16ml/45yard,5.25,7.5
B1 تيب 19ml/45yard,7.25,9
B1 تيب 23ml/45yard,10.25,14
تيب راسور 16ml,2.75,5
تيب راسور 20ml,3.25,6
تيب راسور 25ml,4.25,7
تيب كاوتشوك 20ml,14,18
تيب كاوتشوك 25ml,16,22
صاروخ كهرباء Ingco 750w,17,24
طقم مسدس Conan,2,5
طقم منجم Conan,1.65,4
قطاعة ingco كرت,2,4
تحويلة دوي E27-E14,0.25,0.5
لمبة تشريج Uxi 30w,4.5,7
قطاعة SMU,6.5,10
فواشة 2m Aelifv,1.7,3
فواشة 3m Aelifv,1.9,4
فيش ادبتر مربع Sopoka,0.55,1
مقدح Wadfow 20v,32,45
مقدح راس حديد Ingco 20v,48,60
مقدح بطارية Wadfow SDS,54,65
Ingco Blower 650w,18,25
Spot Frameless 48w Tiger,4.5,7
Profil JH006A مع شفة,1,1.25
دجنتير مجوز 6A-40A CHNT,2,4
تحويلة دوي E27-E27,0.3,0.5
UPS 1000mah WAB,24,35
فانوس اسود,7.5,12
Profil JH003F,0.7,1
دجنتير مفرد 6A-40A CHNT,0.84,2
2M ساعة V/A Aelifv,5,8
انترفون cosmostar,19,25
ديمر قازان,1.25,2.5
تنس برغش,4.5,7
Edison Bulb لمبة ديكور A60 6w YGT,0.6,1.5
عداد عريض Potric,5,9
كونكتير CHNT 60A انفرسور,21.5,25
ساعة فحص mini,4.75,8
ساعة فحص UNIT 201,18,22
وصلة بشريط 3way مع مفتاح FH,2.5,6
وصلة بشريط FH 3way,1.95,5
وصلة بشريط FH 4way,2.75,7
Solar Light 500w,40,50
Wall Ceiling 98982-05,10,15
Spot Frameless 36w ظاهر YGT,4.5,7
Vimar مفتاح 01,6.75,7.5
توال liban cables,0.54,1
ادبتر امركاني Cosmostar,0.55,1
Extender Cudy,17,22
بروجكتير 200w Sadaka,17,22
بروجكتير 300w Sadaka,25,30
Remote RGB,4,8
وصلة magnetic PJ06,1.75,4
كوع magnetic,2.5,5
غطا profil jh035,0.3,0.6
Cube Ceiling 21122-01-03,18,25
Strip LED 10m 12v RED,12,15
Strip LED 5m 12v Gold,5,7
Strip LED 10m 220v Gold,10,13
Strip LED 10m 12v Gold,10,13
Frameless Spot 9w TENC,1,2
Spot Frameless 36W ظاهر TENC,3.35,6
Gold LED Bulb 100w,6.25,10
انتريك P90,5,8
وصلة HDMI 1.5m,1,3
Car starter بلا منفخ,20,25
ميزان ديجيتال فواكه,15.5,20
JTC 0407,2.5,6
Energizer Battery 9V,3.41,4
Konnice مفتاح Black,0.35,1
Konnice Solar light 300,19,25
Konnice Solar light 200,14,20
مقدح ingco 12v بطارية واحدة,18,24
صاروخ بطارية Wadfow 20v,56,70
طقم ريش Yato,3.65,7
توال Sopoka,0.35,1
شمع عريض كيس,4.5,7
فرد شمع عريض 60w,2,5
ريشة حديد emtop,0.15,0.5
صحن مغنطيس emtop,2.25,5
Power Supply 500w,10.5,13
شاسيه ليد 12v 60cm,1.25,2.2
تابلو 12way Winline,3.5,7
لمبة اشتراك Aelifv,2.25,3.5
f4-11 CHNT,1.5,3
تيب كاوتشوك 16ml,11,18
KH تيب 16ml/25yard,2.75,5
KH تيب 16ml/50yard,4.25,7
Vimar universal 14257,9.6,12
لمبة اشارة مدورة,0.35,1
Cudy Repeater AC1200,14.75,18
مكنة غسيل Yato 2000w,120,140
لمبة تشريج Class,1.5,2
مقدح صيني بطاريتين,15,24
ريموت مكيف جوكر,2,5
KH ترانس 24-36w,0.85,1.5
قصدير تايواني,2.35,5
قصدير,1.1,2
فيش ذكر مع مفتاح,0.75,2
بكرة صناعي 25m,23.5,30
بكرة صناعي 50m,34,45
جرس YGT,5.5,9
"interphone urmet 18""",650,700
2x2 nawa2is,0.29,0.6
سبوت ظاهر 18w,2,4
انترفون سماعتين Lingtingzhe,16,22
طقم مفكات 26 قطعة Conan,15,20
مقدح Ingco 20v,43,50
t6 120cm Konnice,3.5,6
Spot Frameless 36w ظاهر KH,2.5,5.5
Spot Frameless 40w ظاهر GenLEd,2.75,6
علبة مطري 008C.A.G,4,6
علبة مطري 011C.A.G,13.7,17
علبة مطري 12C.A.G,14,18
Gold LED Bulb 80w,5.5,8
توال TENC,0.4,1
profil جفصين Kaw,1.6,1.9
دجنتير جرس potric,1.25,2.2
طقم بنسا + قطاعة ingco,5.25,8
لمبة تشريج Uxi 20w,4,6
رزيستانس 1200w,5.75,9
بطارية 2amp 20v ingco,12.25,15
ادبتر 9v,1.15,2
ادبتر 12v,1.15,2
ليزر شقلة wadfow,30,35
T6 60cm Konnice,1.3,3
MR16 LED Bulb,0.5,1
عداد orbis,25.5,30
Mb2-22A Spark حماية,9,12
سىوناكس G1200,1.5,3.3
سبوت مربع YGT 12w,2.25,3.5
شاسيه 4M Konnice,0.35,0.8
بلاك 4M Konnice,0.5,1
شاسيه 6M Konnice,0.8,2
بلاك 6M Konnice,0.5,1
Large Edison Bulb لمبة ديكور G125,1.5,3.5
High بلوطة,0.35,1
مفك 150,0.6,1.5
alteco كرت,0.27,0.55
Spray G2100,1.5,3
Spray G2100,2.95,4
Energizer Battery AA Max,2.95,4
Flashlight Eveready,2.24,5
Flashlight Energizer,3.37,7
بروجكتير 200w Topram,20,25
بلوطة خفيفة,0.12,0.3
بلاك ماجيك,0.42,0.8
هاوس بورسلان TENC 2x32A,2.65,5
لمبة ارمة 1.5w,0.1,0.3
كونتكتير Sassin 40A,7,10
Bomba LED Bulb 18w,0.9,2
"شفاط صناعي 12"" TENC",14.5,23
LED G4 12v,0.75,1.1
علبة متمنة ظاهرة,0.5,1
رباط بلاستيك 4.8x350 Pelsen,2.25,3.75
رباط بلاستيك 4.8x450 Pelsen,3.5,5
shrink box,4,8
Lamp 12w 12v kh,0.75,2
Gold LED Bulb 12w,0.65,1.1
Power Supply 400w Tenc,5.14,9
Power Supply 300w Tenc,4.88,8
Power Supply 200w Tenc,4.22,7
Power Supply 100w Tenc,3.21,6
Power Supply 500w 24v Tenc,6.5,11
Power Supply 400w 24v Tenc,5.14,9
Power Supply 300w 24v Tenc,4.88,8
Power Supply 200w 24v Tenc,4.22,7
Power Supply 100w 24v Tenc,3.21,6
دوي سنسر YGT,1.75,4
JTC 3060,10.5,16
Blower Youssef,12,20
Camera e27 duo,12,20
Strip Led neon box,10,15
وصلة بشريط 3way مع مفتاح FH 5m,2.75,6
مقدح 12v Conan,20,30
فيش انثى شوكو صيني,0.4,1
حرامي brilliant,0.65,1
مفك بطارية Conan,11.5,15
ادبتر حرامي Sopoka,0.55,1.5
سنسر ضو موتوسيل Aelifv,3.5,6
دفاية غاز AG-350,18,23
دفاية غاز AG-360,21,26
دفاية غاز AG-370,21,27
دفاية AG-2000,10.5,15
دفاية AG-2100,11.5,18
عين رسيفر,1,2.2
دفاية AG-2820,8,12
قاعدة TV blue,2,5
قاعدة TV blue Big,4,8
 قاعد متحركة TV blue ,8,12
 قاعد متحركة TV blue Big,15,20
غطا متمن مع برغي,0.12,0.3
وصلة بشريط 4USB,5,10
projector 10w,2.35,5
projector 30w,3,6
وصلة T60 3USB,4.5,10
وصلة A95,5.5,12
وصلة MOXOM STO5,8,15
RingLight YMC16,22,30
magnetic DS11 24w,10,13
ترانس 100w Magnetic,8,11
PJ02,1.5,3
Rope Chain 10m YGT,8,12
جرس wireless LSAGA,4.5,6.5
LED Bulb 9w AP,0.45,1
دفاية General 90E,7.5,12
دفاية Royal,5,8
Spot Frameless 36W GLO,2.75,4.5
قاعدة TV H-10,70,85
جنكسيون على سكة 4,0.2,
جنكسيون على سكة 6,0.25,0.5
جنكسيون على سكة 10,0.3,1
جنكسيون على سكة 16,0.55,1
جنكسيون على سكة 25,0.6,1
جنكسيون على سكة 35,0.8,1.5
جنكسيون على سكة 50,2,3
بنسا كوس انبوب ,5,8
mini wifi,5,8
عداد مفرد oumic,5.5,7
تابلو ظاهر مطري Aelifv 24way,10,14
سبوت مخفي Tenc 3w,1,1.5
دجنتير ABB مثلث 40A,14.3,16
دجنتير ABB مثلث صناعي 125A,70,78
JTC 3120,14,18
JTC 4353,4,6.5
سبوت فريملس مربع YGT 36w,4,6
LED Bulb 5w Vinus,0.37,1
 50 مقدح Ingco 20v,35,42
magnetic Df11 24w,9,12
Frameless Spot 36w TENC CCT,3.5,5
توربين 4 inch,18,23
توربين 5 inch,20,26
توربين 6 inch,22,28
بروجكتير سكة 15w,5,8
F16 Fan AC,8.5,20
Heat Gun 1800w Wadfow,12.5,18
متر نايلون,0.5,1.1
غلوب مدور 24w CCT,3.5,6
بروجكتير سكة 30w,4,7
 بروجكتير سكة 30w CCT,5,9
تابلو مطري 5way TENC,3,6
تابلو مطري 8way TENC,4.2,8
تابلو مطري 18way TENC,7.75,12
تابلو مطري 24way TENC,9,14
تابلو مطري 15way TENC,6.5,10
UPS Router mini ,13.5,17
Netis راوتر,10,14
بروجكتير 100w Sadaka,10,15
بروجكتير 100w Sadaka Blue,12,16
كادر FAR 3way,1,2.2
دوي فيش مع مفتاح,0.35,1.1
علبة كوسات مشكل Wadfow,2.5,5
علبة شرينك مشكل Wadfow,2.5,5
طقم مفك ساعات,1.75,5
وصلة بشريط 5way Cosmostar,6.75,11
براغي علبة ماجيك,3.25,5.5
magnetic Df11 60cm,7,12
مخرم CashCable 40x40,3,4.5
تلزيق double face Ivy 3cm,1.1,2.2
كادر صناعي 6000w Sopoka,4,6
لمبة برغش 30cm,1.1,1.77
لمبة برغش 45cm,1.25,2.2
لمبة برغش 60cm,1.5,2.5
شفرة ingco mini,0.5,1
رباط بلاستيك 7.6x400,4.5,6
Konnice 01 ,1.45,2
JTC Fan 5609,40,50
JTC wall Fan 1118,40,50
مروحة عامود AGI,22,30
JTC Fan 5607,38,45
كباس جرس ADAF,0.8,2
تنس برغش Akko Star,4.5,7
خراقة بلبل,2,6
E27 Fan ,9,15
كلب بطارية صغير,0.6,1.5
Car starter Digital Box,35,45
Car starter Moxom,35,50
فيش لابتوب,0.5,2
HDMI 3m 4K,1.75,4
HDMI 3m 8K,2.25,7
Solar Wall Lamp,2.5,5
Spot Frameless TENC 36w ظاهر,3.5,6
LED Bulb 5w Glo,0.45,0.8
Interlock 3ph 9-32,2,3
جنكسيون ملقط CH2,0.1,0.2
Strip LED 5m 12v CoB Colors,6,8
Wall Ceiling Globe MW ,8,15
سبوت مخفي Deawoo silver 3w,1.25,1.5
Colored T5 120cm New,1.75,3.5
كونتكتير SEM,3.5,6
Port Fuse DC,0.75,2
سنسر خزانة,3,5
JTC 4110,3,6
JTC 2027,2.5,5
وصلة MOXOM STO7,9,15
Strip LED RGB 10m Bluetooth,7,14
INGCO كاوي 100w,9.5,15
كاوي صيني 60w,1.75,4
مفتاح دومينو مفرد,0.35,1.1
مفتاح دومينو مجوز,0.45,1.1
مفتاح دومينو مثلث,0.5,1.1
كادر بلا شريط Cosmostar 5way,1.9,4
